Month;Date;Status;Title;Platform(s);Genre(s);Publisher(s)
dec;03-12-1997;;Star Wars: Rogue Squadron;Win;Action;
dec;04-12-1997;;Magic and Mayhem;Win;Real-time strategy;
dec;06-12-1997;;Quake II;Win, PS1, N64 (1999), ;;
dec;07-12-1997;;Star Wars: Rogue Squadron;N64;Action;
dec;11-12-1997;;Klonoa: Door to Phantomile;PS1, ;;
dec;12-12-1997;;Falcon 4.0;Win;Combat flight simulator;
dec;12-12-1997;;Hey You, Pikachu!;N64;Virtual pet;
dec;12-12-1997;;The Legend of Zelda: Link's Awakening DX;GBC;Action-adventure;
dec;17-12-1997;;Suikoden II;PS1;Role-playing;
dec;18-12-1997;;Mario Party;N64;Party;
dec;18-12-1997;;Pokémon Trading Card Game;GBC;Digital collectible card game;
dec;18-12-1997;;StarCraft: Brood War;Win;Real-time strategy;
dec;18-12-1997;;Grandia (Japan);Sat, PS1 (1999), ;;
dec;18-12-1997;;Mega Man Legends;Win (2001), PS1, N64 (2000), ;;
dec;21-12-1997;;Baldur's Gate;Win;Role-playing;
dec;21-12-1997;;South Park;N64;First-person shooter;
dec;21-12-1997;;Yoshi's Story;N64, ;;
dec;23-12-1997;;Chocobo's Mystery Dungeon 2;PS1;Roguelike;
dec;23-12-1997;;Sonic Adventure;DC;Platform;
dec;23-12-1997;;Starsiege: Tribes;Win;First-person shooter;
dec;23-12-1997;;Gran Turismo;PS1, ;;
dec;28-12-1997;;Myth II: Soulblighter;Win;Real-time tactics;
dec;31-12-1997;;Akuji the Heartless;PS1;Action-adventure;
dec;31-12-1997;;Mortal Kombat Mythologies: Sub-Zero;N64, ;;
1998;01-01-1998;;;;;
jan;05-01-1998;;Robotron 64;N64;Shoot 'em up;
jan;08-01-1998;;No One Can Stop Mr. Domino!;PS1;Puzzle;
jan;12-01-1998;;Marvel vs. Capcom: Clash of Super Heroes;Arcade;Fighting;
jan;21-01-1998;;Resident Evil 2;PS1;Survival horror;
jan;29-01-1998;;Bomberman World;PS1;Action, maze;
jan;29-01-1998;;Bust a Groove;PS1;Music, fighting;
jan;29-01-1998;;Panzer Dragoon Saga;Sat;Action-adventure, role-playing;
jan;31-01-1998;;Skullmonkeys;PS1;Platform;
feb;09-02-1998;;James Bond 007;GB;Action-adventure;
feb;11-02-1998;;Xenogears;PS1;Role-playing;
feb;24-02-1998;;Gex: Enter the Gecko;PS1;Platform;
feb;26-02-1998;;Burning Rangers;Sat;Action, third-person shooter;
feb;26-02-1998;;Tenchu: Stealth Assassins;PS1;Action-adventure, stealth;
feb;26-02-1998;;X-Men vs. Street Fighter: EX Edition;PS1;Fighting;
feb;28-02-1998;;1080° Snowboarding;N64;Racing;
feb;28-02-1998;;Battlezone;Win;First-person shooter, real-time strategy;
feb;28-02-1998;;ReBoot;PS1;Action;
feb;28-02-1998;;Star Wars: Rebellion;Win;Real-time strategy;
mar;09-03-1998;;Wario Land II;GB;Platform;
mar;19-03-1998;;Descent: FreeSpace – The Great War;Win;Space combat simulator;
mar;19-03-1998;;Real Bout Fatal Fury 2: The Newcomers;Arcade;Fighting;
mar;25-03-1998;;Need for Speed III: Hot Pursuit;PS1;Racing;
mar;26-03-1998;;Dungeon Master Nexus;Sat;Role-playing;
mar;26-03-1998;;The House of the Dead;Sat;Rail shooter;
mar;26-03-1998;;The King of Fighters '97;Sat;Fighting;
mar;26-03-1998;;Tekken 3;PS1;Fighting;
mar;29-03-1998;;Parasite Eve;PS1;Action role-playing;
mar;31-03-1998;;Blasto;PS1;Third-person shooter;
mar;31-03-1998;;StarCraft;Win;Real-time strategy;
mar;31-03-1998;;Warhammer: Dark Omen;Win;Real-time tactics;
mar;31-03-1998;;World Cup 98;PS1;Sports (soccer);
apr;04-04-1998;;Sakura Wars 2: Thou Shalt Not Die;Sat;Tactical role-playing, dating sim, visual novel;
apr;07-04-1998;;Warhammer: Dark Omen;PS1;Real-time tactics;
apr;09-04-1998;;G-Darius;PS1;Shoot 'em up;
apr;14-04-1998;;GT 64: Championship Edition;N64;Racing;
